,0
355,5691500000.0
356,5691600000.0
357,5691700000.0
358,5691800000.0
359,5691900000.0
360,5692000000.0
361,5692100000.0
362,5692200000.0
363,5692300000.0
364,5692400000.0
365,5692500000.0
366,5692600000.0
367,5692700000.0
368,5692800000.0
369,5692900000.0
370,5693000000.0
371,5693100000.0
372,5693200000.0
373,5693300000.0
374,5693400000.0
375,5693500000.0
376,5693600000.0
377,5693700000.0
378,5693800000.0
379,5693900000.0
380,5694000000.0
381,5694100000.0
382,5694200000.0
383,5694300000.0
384,5694400000.0
385,5694500000.0
386,5694600000.0
387,5694700000.0
388,5694800000.0
389,5694900000.0
390,5695000000.0
391,5695100000.0
392,5695200000.0
393,5695300000.0
394,5695400000.0
395,5695500000.0
396,5695600000.0
397,5695700000.0
398,5695800000.0
399,5695900000.0
400,5696000000.0
401,5696100000.0
402,5696200000.0
403,5696300000.0
404,5696400000.0
405,5696500000.0
406,5696600000.0
407,5696700000.0
408,5696800000.0
409,5696900000.0
410,5697000000.0
411,5697100000.0
412,5697200000.0
413,5697300000.0
414,5697400000.0
415,5697500000.0
416,5697600000.0
417,5697700000.0
418,5697800000.0
419,5697900000.0
420,5698000000.0
421,5698100000.0
422,5698200000.0
423,5698300000.0
424,5698400000.0
425,5698500000.0
426,5698600000.0
427,5698700000.0
428,5698800000.0
429,5698900000.0
430,5699000000.0
431,5699100000.0
432,5699200000.0
433,5699300000.0
434,5699400000.0
435,5699500000.0
436,5699600000.0
437,5699700000.0
438,5699800000.0
439,5699900000.0
440,5700000000.0
441,5700100000.0
442,5700200000.0
443,5700300000.0
444,5700400000.0
445,5700500000.0
446,5700600000.0
447,5700700000.0
448,5700800000.0
449,5700900000.0
450,5701000000.0
451,5701100000.0
452,5701200000.0
453,5701300000.0
454,5701400000.0
455,5701500000.0
456,5701600000.0
457,5701700000.0
458,5701800000.0
459,5701900000.0
460,5702000000.0
461,5702100000.0
462,5702200000.0
463,5702300000.0
464,5702400000.0
465,5702500000.0
466,5702600000.0
467,5702700000.0
468,5702800000.0
469,5702900000.0
470,5703000000.0
471,5703100000.0
472,5703200000.0
473,5703300000.0
474,5703400000.0
475,5703500000.0
476,5703600000.0
477,5703700000.0
478,5703800000.0
479,5703900000.0
480,5704000000.0
481,5704100000.0
482,5704200000.0
483,5704300000.0
484,5704400000.0
485,5704500000.0
486,5704600000.0
487,5704700000.0
488,5704800000.0
489,5704900000.0
490,5705000000.0
491,5705100000.0
492,5705200000.0
493,5705300000.0
494,5705400000.0
495,5705500000.0
496,5705600000.0
497,5705700000.0
498,5705800000.0
499,5705900000.0
500,5706000000.0
