,0
91,(0.6150646805763245-0.34540289640426636j)
92,(0.6134052276611328-0.348440945148468j)
93,(0.6124846339225769-0.3472331762313843j)
94,(0.6141250133514404-0.35061073303222656j)
95,(0.6149390935897827-0.34807321429252625j)
96,(0.617969274520874-0.34469112753868103j)
97,(0.6152847409248352-0.3461068272590637j)
98,(0.614307701587677-0.347682923078537j)
99,(0.6151869297027588-0.3483823239803314j)
100,(0.6133940815925598-0.35122063755989075j)
101,(0.6158453822135925-0.3453207015991211j)
102,(0.6166433691978455-0.3473602831363678j)
103,(0.617997944355011-0.3467109203338623j)
104,(0.6122686862945557-0.34762588143348694j)
105,(0.6139352917671204-0.3491353988647461j)
106,(0.6129432916641235-0.34640762209892273j)
107,(0.6181816458702087-0.34840628504753113j)
108,(0.6163840293884277-0.35144078731536865j)
109,(0.6166130304336548-0.34718644618988037j)
110,(0.6152421832084656-0.3488883972167969j)
111,(0.6158654689788818-0.347684383392334j)
112,(0.6155094504356384-0.3463846445083618j)
113,(0.6147209405899048-0.3505268096923828j)
114,(0.6164271235466003-0.3512638509273529j)
115,(0.615193784236908-0.3495681881904602j)
116,(0.6137979626655579-0.3459595739841461j)
117,(0.6166305541992188-0.35095518827438354j)
118,(0.6164278388023376-0.3492930829524994j)
119,(0.6151110529899597-0.35092484951019287j)
120,(0.6124557256698608-0.3505902588367462j)
121,(0.6154834628105164-0.34972837567329407j)
122,(0.6153244972229004-0.3511839509010315j)
123,(0.6149857640266418-0.34970009326934814j)
124,(0.6120775938034058-0.35161516070365906j)
125,(0.6159892082214355-0.3528309762477875j)
126,(0.617706835269928-0.3496992588043213j)
127,(0.6150546669960022-0.35087963938713074j)
128,(0.6174257397651672-0.3510136604309082j)
129,(0.6158666014671326-0.35312962532043457j)
130,(0.6173502802848816-0.3533994257450104j)
131,(0.6160377264022827-0.34972965717315674j)
132,(0.6174489855766296-0.3515892028808594j)
133,(0.6176576614379883-0.3502652943134308j)
134,(0.6135416626930237-0.3546866178512573j)
135,(0.617573082447052-0.35070091485977173j)
136,(0.6162384748458862-0.3520873785018921j)
137,(0.6136962175369263-0.35463660955429077j)
138,(0.6156262159347534-0.35253000259399414j)
139,(0.6156180500984192-0.35217592120170593j)
140,(0.6168301105499268-0.3546672463417053j)
141,(0.6173844933509827-0.35350918769836426j)
142,(0.6154496669769287-0.3557742238044739j)
143,(0.6148287057876587-0.35144299268722534j)
144,(0.6184770464897156-0.3551637828350067j)
145,(0.6149643063545227-0.35077187418937683j)
146,(0.6198824048042297-0.3569127321243286j)
147,(0.6139684319496155-0.3523283004760742j)
148,(0.6176811456680298-0.3509896397590637j)
149,(0.616934597492218-0.3552454710006714j)
150,(0.6150072813034058-0.3551327884197235j)
151,(0.6190146803855896-0.3545679450035095j)
152,(0.6173697710037231-0.3550366163253784j)
153,(0.6174600720405579-0.3560190796852112j)
154,(0.616117000579834-0.3548065423965454j)
155,(0.619792103767395-0.356122225522995j)
156,(0.6172637343406677-0.3541581928730011j)
157,(0.6168145537376404-0.35447168350219727j)
158,(0.6142976880073547-0.35422495007514954j)
159,(0.6196302771568298-0.35596486926078796j)
160,(0.6145706176757812-0.3601861596107483j)
161,(0.6162575483322144-0.3571549355983734j)
162,(0.6182947754859924-0.35879385471343994j)
163,(0.6171078085899353-0.3558770418167114j)
164,(0.6188870072364807-0.35925889015197754j)
165,(0.6139445900917053-0.3609832525253296j)
166,(0.6151350736618042-0.35779836773872375j)
167,(0.6151962280273438-0.3569670617580414j)
168,(0.6158046722412109-0.3574472963809967j)
169,(0.6158753633499146-0.3574998676776886j)
170,(0.6150374412536621-0.35851818323135376j)
171,(0.6180430054664612-0.3571998178958893j)
172,(0.6162576079368591-0.35950466990470886j)
173,(0.6168252825737-0.35840827226638794j)
174,(0.618013322353363-0.3641654849052429j)
175,(0.6158711910247803-0.36117255687713623j)
176,(0.6147712469100952-0.3589724898338318j)
177,(0.6132168769836426-0.35997045040130615j)
178,(0.614833652973175-0.36089450120925903j)
179,(0.6119335889816284-0.36471259593963623j)
180,(0.6133610010147095-0.3597066402435303j)
181,(0.6143935322761536-0.3598305881023407j)
